Tabel 5.16. Banyaknya Alat Penangkap Ikandi Kecamatan Wuarlabobar 2010 – 2012,,,
,,,
Jenis Alat Tangkap,2010,2011,2012
Pukat ,0,0,0
Jaring Insang ,123,123,169
Bagan ,0,0,0
Sero ,0,0,0
Bubu ,0,0,0
Pancing Lainnya ,379,379,290
