Tabel 5.15. Banyaknya Perahu/Kapal Motor Penangkap Ikandi Kecamatan Wuarlabobar2010 – 2012,,,
,,,
Jenis Perahu/ Kapal Motor,2010,2011,2012
Perahu Jukung ,631,631,170
Perahu Kecil ,276,276,20
Perahu Besar ,5,4,68
Motor Tempel ,21,21,41
Kapal Motor ,12,14,12
