"Tabel 4.5. Banyaknya Gedung Sekolah Dasar Swasta, Ruang Kelas, Guru Dan Murid di Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
Gedung Sekolah ,13,13,4
Sekolah ,13,13,4
Ruang Kelas ,78,78,54
Kelas ,78,78,24
Murid ,1472,1425,474
Guru ,107,107,46
