"Tabel 4.11. Banyaknya Gedung Sekolah Menengah Tingkat Atas,Ruang Kelas, Murid, Guru di Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
Gedung Sekolah ,2,2,2
Sekolah ,2,2,2
Ruang Kelas ,17,17,10
Kelas ,17,17,10
Murid ,250,262,247
Guru ,25,41,33
