"Tabel 4.1. Banyaknya Gedung Sekolah Dasar, Murid dan Guru di Kecamatan Wuarlabobar 2009/2010 - 2011/2012",,,,,,,,
,,,,,,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012,,,,,
Gedung Sekolah ,17,17,7,,,,,
Sekolah ,17,17,7,,,,,
Ruang Kelas ,102,103,42,,,,,
Kelas ,102,103,42,,,,,
Murid ,1980,1982,874,,,,,
Guru ,133,133,66,,,,,
,,,,,,,,
