Tabel 4.16. Rata-Rata Murid per Sekolah Menurut JenjangPendidikan di kecamatan Wuarlabobar 2009/2010 - 2011/2012,,,
,,,
Tahun ,Sekolah Dasar ,SMTP ,SMTA
2008/2009 ,116,89,125
2009/2010 ,117,64,131
2010/2011 ,125,82,123
