Tabel 4.17. Rasio Murid Terhadap Guru per Jenjang Pendidikan di kecamatan Wuarlabobar 2009/2010 - 2011/2012,,,
,,,
Tahun ,Sekolah Dasar ,SMTP ,SMTA
2008/2009 ,15,17,10
2009/2010 ,15,11,6
2010/2011 ,13,11,7
