"Tabel 5.2.1 Luas Panen dan Produksi Tanaman Sayuran Menurut Jenisnya di Kecamatan Nirunmas, 2012",,,,,,,,,,,,
,,,,,,,,,,,,
Jenis Tanaman,Luas Panen (ha) ,Produksi (ton),,,,,,,,,,
Bawang Merah ,2.0,9.8,,,,,,,,,,
Cabe ,0.7,2.3,,,,,,,,,,
Kubis ,- ,-,,,,,,,,,,
Petsai ,1.5,23.3,,,,,,,,,,
Kacang Panjang ,- ,-,,,,,,,,,,
Buncis ,0.3,6.1,,,,,,,,,,
,,,,,,,,,,,,
