"Tabel 2.3 Tingkat Perkembangan LKMD Menurut Desa di Kecamatan Nirunmas, 2012",,,
,,,
Desa,Kategori I ,Kategori II ,Kategori III
Waturu ,+,0,0
Tutukembong ,+,0,0
Manglusi ,+,0,0
Arma ,+,0,0
Watmuri ,+,0,0
