"Tabel 6.3 Banyaknya Sarana Perdagangan Menurut Jenis dan Desa di Kecamatan Nirunmas, 2011 - 2012",,,,,,,,
,,,,,,,,
Desa ,Pasar Desa,Toko ,Kios ,Warung ,Rumah Makan/Restoran,,,
Waturu ,0,2,8,0,0,,,
Tutukembng ,0,0,12,0,0,,,
Manglusi ,0,0,6,0,0,,,
Arma ,0,3,11,0,0,,,
Watmuri ,0,3,7,0,0,,,
2012,0,8,44,0,0,,,
2011,0,8,44,0,0,,,
