Tabel 1.1.4 Tinggi Wilayah Di Atas Permukaan Laut (DPL) Menurut Desa di Kecamatan Nirunmas,,,,,
,,,,,
Desa,Tinggi (m),,,,
Waturu ,50,,,,
Tutukembong ,50,,,,
Manglusi ,100,,,,
Arma ,120,,,,
Watmuri ,120,,,,
,,,,,
