Tabel 1.1.2 Letak Geografis Desa di Kecamatan Nirunmas,,
,,
Desa ,Letak,
Waturu ,Pesisir Pantai,
Tutukembong ,Pesisir Pantai,
Manglusi ,Pesisir Pantai,
Arma ,Pesisir Pantai,
Watmuri ,Pesisir Pantai,
,,
,,
