"Tabel 6.1 Banyaknya Perusahaan Menurut Bentuk Badan Hukum dan Desa di Kecamatan Nirunmas, 2011 - 2012",,,,,,,,
,,,,,,,,
Desa ,Koperasi ,Perorangan ,Lainnya ,Jumlah,,,,
Waturu ,0,10,0,10,,,,
Tututkembung ,0,12,0,12,,,,
Manglusi ,0,6,0,6,,,,
Arma ,0,14,0,14,,,,
Watmuri ,0,10,0,10,,,,
2012,0,52,0,52,,,,
2011,0,52,0,52,,,,
