Tabel 2.4 Nama Camat Menurut Masa Jabatan di Kecamatan Nirunmas,,,,,
,,,,,
Nama Camat ,Masa Jabatan,,,,
"C. Yempormase, BA ",2003-2003,,,,
"Y. Batseran, S.Sos ",2003-2007,,,,
"S. Leunupun, SE ",2007-2009,,,,
"P. Miru, SE ",2009-2009,,,,
"F.G. Lambiombir, S.sos ",2009-2013,,,,
"A. Sianressy, SH ",2013-…..….,,,,
,,,,,
,,,,,
,,,,,
,,,,,
