"Tabel 5.5.4 Jumlah Perahu/Kapal Menurut Jenis dan Desa di Kecamatan Nirunmas, 2012",,,,,,,,
,,,,,,,,
Desa ,Perahu Tanpa Motor Jukung ,Perahu Tanpa Motor Kecil ,Perahu Tanpa Motor Sedang ,Perahu Tanpa Motor Besar ,Perahu Motor Tempel,Kapal Motor,,
Waturu ,28,14,24,15,0,0,,
Tutukembung ,9,29,16,18,15,0,,
Manglusi ,7,15,6,5,4,0,,
Arma ,12,29,14,10,15,0,,
Watmuri ,16,10,13,9,6,0,,
