"Tabel 5.5.1 Jumlah Rumah Tangga Perikanan dan Nelayan Menurut Desa di Kecamatan Nirunmas, 2012",,,,,,,,,,,,
,,,,,,,,,,,,
Desa ,Rumah Tangga Perikanan,Nelayan,,,,,,,,,,
Waturu ,44,132,,,,,,,,,,
Tutukembung ,38,114,,,,,,,,,,
Manglusi ,18,54,,,,,,,,,,
Arma ,37,111,,,,,,,,,,
Watmuri ,25,75,,,,,,,,,,
2012,162,486,,,,,,,,,,
2011,159,477,,,,,,,,,,
