"Tabel 5.5.5 Jumlah Alat Penangkap Ikan Menurut Jenis dan Desa di Kecamatan Nirunmas, 2012",,,,,,,,
,,,,,,,,
Desa ,Pukat ,Jaring Insang ,Jaring Angkat,Pancing,Perangkap ,Alat Pengumpul & Alat Tangkap,Lainnya,
Waturu ,0,34,0,96,25,58,55,
Tutukembung ,0,14,0,87,5,52,61,
Manglusi ,0,11,0,39,6,25,18,
Arma ,0,17,0,27,10,21,8,
Watmuri ,0,17,0,60,12,25,28,
