"Tabel 5.5.3 Produksi dan Nilai Perikanan Tangkap Menurut Jenis Ikan di Kecamatan Nirunmas, 2010 ­ 2012",,,,,,,,
,,,,,,,,
Jenis Ikan,Produksi (ton) 2011,Produksi (ton) 2012,Nilai (ribu rupiah) 2011,Nilai (ribu rupiah) 2012,,,,
Pelagis Kecil ,115.73,118.93,1048.805,1059.91,,,,
Pelagis Besar ,39.50,40.40,590.000,607.00,,,,
Demersal ,266.30,268.40,3473.750,3499.05,,,,
Lain-lain ,2.01,2.61,47.000,66.50,,,,
