"Tabel 5.4.2 Populasi Unggas Dan Telur Menurut Jenisnya di Kecamatan Nirunmas, 2012",,,,,,,,,,,,
,,,,,,,,,,,,
Jenis Unggas,Populasi (ekor) ,Telur (kg),,,,,,,,,,
Ayam Kampung ,1128,2300,,,,,,,,,,
Itik ,8,36,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
