"Tabel 6.2 Banyaknya Pedagang Menurut Klasifikasi dan Desa di Kecamatan Nirunmas, 2011 - 2012",,,,,,,,
,,,,,,,,
Desa ,Pedagang Besar ,Pedagang Menengah ,Pedagang Kecil,Jumlah,,,,
Waturu ,0,2,8,10,,,,
Tutukembung ,0,0,13,13,,,,
Manglusi ,0,0,6,6,,,,
Arma ,1,2,12,15,,,,
Watmuri ,2,1,7,10,,,,
2012,3,5,46,54,,,,
2011,3,5,44,52,,,,
