Tabel 1.1.3 Luas Wilayah Menurut Desa di Kecamatan Nirunmas,,,,,
,,,,,
Desa ,Luas Wilayah (km2) ,Persentase (%),,,
Waturu ,250.48,17,,,
Tutukembong ,279.85,19,,,
Manglusi ,107.15,7,,,
Arma ,718.96,49,,,
Watmuri ,111.86,8,,,
,,,,,
,,,,,
