Tabel 1.1.5 Jarak Ibukota Kecamatan ke Desa di Kecamatan Nirunmas,,,,,
,,,,,
Ibukota Kecamatan ,Desa,Jarak (km),,,
Tutukembong ,Waturu ,3,,,
,Manglusi ,3,,,
,Arma ,15,,,
,Watmuri ,14,,,
,,,,,
