"Tabel 5.2.2 Luas Panen dan Produksi Tanaman Buah-buahan Menurut Jenis Tanaman di Kecamatan Nirunmas, 2012",,,,,,,,,,,,
,,,,,,,,,,,,
Jenis Tanaman,Luas Panen (ha) ,Produksi (ton),,,,,,,,,,
Jeruk ,100.3,2542.5,,,,,,,,,,
Mangga ,4.0,19.8,,,,,,,,,,
Pepaya ,1.0,17.6,,,,,,,,,,
Pisang ,40.3,408.5,,,,,,,,,,
Jambu ,1.0,9.1,,,,,,,,,,
Nangka ,0.4,2.4,,,,,,,,,,
Nenas ,0.5,0.3,,,,,,,,,,
Sukun ,3.9,27.5,,,,,,,,,,
