"Tabel 4.1.1. Banyaknya Gedung Sekolah Dasar, Ruang Kelas, Murid dan Guru di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
GedungSekolah ,17,16,16
Sekolah ,17,16,16
RuangKelas ,102,182,182
Kelas ,102,102,182
Murid ,2403,2432,2356
Guru ,145,129,138
