Tabel 5.3.5. Luas Panen Tanaman Buah di Kecamatan Tanimbar Utara 2011 - 2012,,
,,
Jenis Tanaman ,Luas Panen (ha) 2011,Luas Panen (ha) 2012
Mangga ,7,7
Pepaya ,3.1,3.1
Pisang ,75.1,75.1
Jambu ,2.5,2.5
Nangka ,2.5,2.5
Nenas ,0.7,0.7
Sukun ,10.1,10.1
