Tabel 3.1. Jumlah Penduduk Kecamatan Tanimbar Utara Tahun 2012 Dirinci per Desa,,,
,,,
Desa ,Laki-laki ,Perempuan ,Jumlah
Lelingluan ,1000,982,1982
Ritabel ,1859,1786,3645
Ridool ,1076,1090,2166
Waitidal ,815,797,1612
Keliobar ,737,789,1526
Lamdesar Timur ,789,799,1588
Lamdesar Barat ,315,349,664
Kelaan ,318,352,670
2012,6909,6944,13853
2011,6798,6793,13591
2010,6573,6653,13226
