"Tabel 4.1.9. Banyaknya Gedung Sekolah Menengah Tingkat Atas Swasta, Ruang Kelas, Murid, dan Guru di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
GedungSekolah ,2,2,2
Sekolah ,2,2,2
RuangKelas ,14,18,14
Kelas ,14,18,14
Murid ,320,381,420
Guru ,29,33,33
