"Tabel 4.1.2. Banyaknya Gedung Sekolah Dasar Negeri, Ruang Kelas, Murid, dan Guru di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
GedungSekolah ,7,7,7
Sekolah ,7,7,7
RuangKelas ,42,42,42
Kelas ,42,42,42
Murid ,967,1000,952
Guru ,66,60,69
