"Tabel 4.1.3. Banyaknya Gedung Sekolah Dasar Swasta, Ruang Kelas, Murid, dan Guru di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
GedungSekolah ,10,9,9
Sekolah ,10,9,9
RuangKelas ,60,60,60
Kelas ,60,60,60
Murid ,1515,1432,1404
Guru ,83,69,69
