Tabel 5.1.2. Luas Panen Tanaman Pangan di Kecamatan Tanimbar Utara 2010 ­ 2012,,,,,
,,,,,
JenisTanaman ,Luas Panen (ha) 2010,Luas Panen (ha) 2011,Luas Panen (ha) 2012,,
Padi Ladang ,130,65,65,,
Jagung ,101,82,82,,
Ketela Pohon ,38,27,27,,
Ketela Rambat ,44,35,35,,
Kacang Tanah ,198,44,44,,
Kacang Hijau ,68,34,34,,
Kacang-Kacangan Lainnya ,230,98,98,,
Umbi-umbian Lainnya ,98,74,74,,
