Tabel 3.2. Rasio Jenis Kelamin Penduduk Kecamatan Tanimbar Utara Tahun 2012 Dirinci per Desa,,,
,,,
Desa ,Laki ­ Laki ,Perempuan ,Rasio
Lelingluan ,1000,982,102
Ritabel ,1859,1786,104
Ridool ,1076,1090,99
Waitidal ,815,797,102
Keliobar ,737,789,93
Lamdesar Timur ,789,799,99
Lamdesar Barat ,315,349,90
Kelaan ,318,352,90
