Tabel 5.2.2. Produksi Tanaman Perkebunan di Kecamatan Tanimbar Utara 2010 ­ 2012,,,,,
,,,,,
JenisTanaman ,Produksi (Ton) 2010,Produksi (Ton) 2011,Produksi (Ton) 2012,,
Kelapa ,3336,4672,4672,,
Cengkih ,0,0,0,,
Pala ,0,0,0,,
Kopi ,0,0,0,,
Coklat ,0,0,0,,
Jambu Mete ,737,777,777,,
