Tabel 5.3.3. Produksi Tanaman Sayuran di Kecamatan Tanimbar Utara 2011 - 2012,,
,,
Jenis Tanaman ,Produksi (ha) 2011,Produksi (ha) 2012
Bawang Merah ,12.4,16.5
Cabai ,11.4,15.2
Ketimun ,18.9,0
Terong ,36.6,0
Petsai ,43.5,54.4
Tomat ,17.2,0
Buncis ,12,12
Kangkung ,69.7,69.7
Bayam ,12.8,12.8
Wortel ,2,2
