"Tabel 4.1.8. Banyaknya Gedung Sekolah Menengah Tingkat Atas Negeri, Ruang Kelas, Murid, dan Guru di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
GedungSekolah ,2,3,3
Sekolah ,2,3,3
RuangKelas ,40,24,40
Kelas ,40,24,40
Murid ,937,559,555
Guru ,77,59,24
