Tabel 4.1.11. Rasio Murid Terhadap Guru per Jenjang Pendidikan di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012,,,
,,,
Tahun ,SekolahDasar ,SMTP ,SMTA
2009/2010 ,17,11,12
2010/2011 ,17,12,9
2011/2012 ,17,12,17
