Tabel 5.3.4. Luas Areal Tanaman Buah di Kecamatan Tanimbar Utara 2011 - 2012,,
,,
Jenis Tanaman ,Luas Areal (ha) 2011,Luas Areal (ha) 2012
Mangga ,9.6,9.6
Pepaya ,4.4,4.4
Pisang ,98.2,98.2
Jambu ,2.9,2.9
Nangka ,4.5,4.5
Nenas ,1,1
Sukun ,16.8,16.8
