Tabel 5.1.3. Produksi Tanaman Pangan di Kecamatan Tanimbar Utara 2010 ­ 2012,,,,,
,,,,,
Jenis Tanaman ,Produksi (Ton) 2010,Produksi (Ton) 2011,Produksi (Ton) 2012,,
Padi Ladang ,117,78,78,,
Jagung ,91,123,123,,
Ketela Pohon ,228,160,160,,
Ketela Rambat ,264,211,211,,
Kacang Tanah ,178,49,49,,
Kacang Hijau ,61,28,28,,
Kacang-Kacangan Lainnya ,219,88,88,,
Umbi-umbian Lainnya ,588,441,441,,
