Tabel 5.3.2. Luas Panen Tanaman Sayuran di Kecamatan Tanimbar Utara 2011 - 2012,,
,,
Jenis Tanaman ,Luas Panen (ha) 2011,Luas Panen (ha) 2012
Bawang Merah ,2.5,3
Cabai ,3,4
Ketimun ,4,0
Terong ,6,0
Petsai ,3,3.75
Tomat ,4,0
Buncis ,1.5,1.5
Kangkung ,21,21
Bayam ,5,5
Wortel ,1,3
