"Tabel 4.1.5. Banyaknya Gedung Sekolah Menengah Tingkat Pertama Negeri, Ruang Kelas, Murid, dan Guru di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
GedungSekolah ,5,5,5
Sekolah ,5,5,5
RuangKelas ,27,27,27
Kelas ,27,27,27
Murid ,595,645,568
Guru ,47,55,46
