Tabel 5.4.3. Populasi Unggas di Kecamatan Tanimbar Utara 2010 – 2012,,,
,,,
Jenis Unggas ,Populasi (ekor) 2010,Populasi (ekor) 2011,Populasi (ekor) 2012
Itik ,57,21,21
Ayam Buras ,5160,1377,1377
