Tabel 5.4.2 Pemotongan Ternak Menurut Jenis Ternak di Kecamatan Tanimbar Utara 2010 – 2012,,,
,,,
Jenis Ternak ,Pemotongan (ekor) 2010,Pemotongan (ekor) 2011,Pemotongan (ekor) 2012
Sapi ,0,10,10
Kerbau ,0,0,0
Kambing ,96,5,5
Domba ,0,0,0
Babi ,409,189,189
Kuda ,0,0,0
