Tabel 5.4.1 Populasi Ternak Menurut Jenis Ternak di Kecamatan Tanimbar Utara 2010 – 2012,,,
,,,
Jenis Ternak ,Populasi (ekor) 2010,Populasi (ekor) 2011,Populasi (ekor) 2012
Sapi ,141,124,124
Kerbau ,0,0,0
Kambing ,401,322,322
Domba ,0,0,0
Babi ,909,1343,1343
Kuda ,0,0,0
