Tabel 4.2.6. Jumlah Kelahiran Menurut Penolong Persalinan di Kecamatan Tanimbar Utara 2010 – 2012,,,
,,,
Tahun,Persalinan yang Ditolong Bidan ,Persalinan yang Ditolong Dukun Terlatih ,Persalinan yang Ditolong Jumlah
2010,239,27,266
2011,308,3,311
2012,302,0,302
