"Tabel 4.1.6. Banyaknya Gedung Sekolah Menengah Tingkat Pertama Swasta, Ruang Kelas, Murid, dan Guru di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
GedungSekolah ,3,3,3
Sekolah ,3,3,3
RuangKelas ,17,17,17
Kelas ,17,17,17
Murid ,317,374,336
Guru ,30,29,31
