Tabel 5.5.1 Perkembangan Hasil Penangkapan Ikan dan Nilai Ikan di Kecamatan Tanimbar Utara 2010– 2012,,,
,,,
Uraian ,2010,2011,2012
Produksi (Ton) ,2716,1197.14,1347.14
Nilai (.000 Rp.) ,5318,1544.99,1736.87
