"Tabel 4.1.4. Banyaknya Gedung Sekolah Menengah Tingkat Pertama, Ruang Kelas, Murid, dan Guru di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
GedungSekolah ,8,8,8
Sekolah ,8,8,8
RuangKelas ,44,46,46
Kelas ,44,46,46
Murid ,303,1019,904
Guru ,117,94,77
