"Tabel 4.1.7. Banyaknya Gedung Sekolah Menengah Tingkat Atas, Ruang Kelas, Murid, Guru di Kecamatan Tanimbar Utara 2009/2010 - 2011/2012",,,
,,,
Uraian ,2009/2010 ,2010/2011 ,2011/2012
GedungSekolah ,3,3,5
Sekolah ,3,3,5
RuangKelas ,17,42,54
Kelas ,17,42,54
Murid ,536,940,975
Guru ,47,103,57
