Tabel 5.3.1. Luas Areal Tanaman Sayuran di Kecamatan Tanimbar Utara 2011 - 2012,,
,,
Jenis Tanaman ,Luas Areal (ha) 2011,Luas Areal (ha) 2012
Bawang Merah ,3,4
Cabai ,4,4.2
Ketimun ,5,0
Terong ,7,0
Petsai ,4,5
Tomat ,5,0
Buncis ,2,2
Kangkung ,28,28
Bayam ,6,6
Wortel ,1,1
