Tabel 5.4.4. Produksi Telur di Kecamatan Tanimbar Utara 2010 ­ 2012,,,
,,,
Jenis Unggas,Produksi 2010,Produksi 2011,Produksi 2012
Itik ,289,289,48
Ayam Buras ,2528,3070,3192
