Tabel 5.5.2 Banyaknya Perahu/Kapal Motor Penangkap Ikan di Kecamatan Tanimbar Utara 2010 – 2012,,,
,,,
Jenis Perahu/ Kapal Motor,2010,2011,2012
Perahu Jukung ,1800,164,164
Perahu Kecil ,451,117,117
Perahu Besar ,23,33,33
Motor Tempel ,20,133,133
Kapal Motor ,21,25,25
