Tabel 2.3. Status Perkembangan Desa di Kecamatan Tanimbar Utara 2012,,,,
,,,,
Desa,Status Maju ,Status Tertinggal,,
Lelingluan ,+,-,,
Ritabel ,+,-,,
Ridool ,+,-,,
Waitidal ,+,-,,
Keliobar ,+,-,,
Lamdesar Timur ,-,+,,
Lamdesar Barat ,-,+,,
Kelaan ,-,+,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
