Tabel 4.3.2. Banyaknya Anak Terlantar di Kecamatan Tanimbar Utara 2012,
,
Jenis ,Jumlah Kasus
1. Yatim ,116
2. Piatu ,75
3. Yatim Piatu ,19
4. Cerai ,0
5. Pisah ,0
2012,210
2011,210
