"Tabel 4.1.2 Murid, Guru, dan Rasio Murid Guru Sekolah Dasar Negeri Menurut Desa di Kecamatan Yaru, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid Laki- laki ,Murid Perem puan ,Murid Jumlah ,Guru Laki- laki ,Guru Perem puan ,Guru Jumlah ,Rasio Murid Guru
Romean ,1,1,6,6,57,61,118,4,4,8,14.75
Rumngeur ,1,1,6,6,28,36,64,3,9,11,5.81
Awear ,0,0,0,0,0,0,0,0,0,0,-
Sofyanin ,0,0,0,0,0,0,0,0,0,0,-
Walerang ,0,0,0,0,0,0,0,0,0,0,-
Adodo Fordata ,1,1,6,6,36,25,61,4,4,8,7.62
