"Tabel 3.2 Jumlah Penduduk dan Laju Pertumbuhan Penduduk di Kecamatan Yaru, 2000, 2010 dan 2012",,,,
,,,,
Desa,Jumlah Penduduk (orang) 2000,Jumlah Penduduk (orang) 2010,Jumlah Penduduk (orang) 2012,Laju Pertumbuhan Penduduk Per Tahun (%) 2000 ­ 2010
Romean ,1417,1664,1743,1.62
Rumngeur ,230,303,317,2.79
Awear ,307,280,293,-0.92
Sofyanin ,1001,912,955,-0.93
Walerang ,768,756,792,-0.16
Adodo Fordata ,1045,859,938,-1.5
