"Tabel 4.1.7 Murid, Guru, dan Rasio Murid Guru Sekolah Menegah Atas Menurut Desa di Kecamatan Yaru, 2012",,,,,,,,,,,
,,,,,,,,,,,
Desa ,Gedung  Sekolah ,Sekolah ,Ruang Kelas,Kelas,Murid  Laki- laki ,Murid  Perem puan ,Murid  Jumlah ,Guru Laki- laki ,Guru Perem puan ,Guru Jumlah ,Rasio Murid Guru
Romean ,1,1,6,6,54,84,138,6,15,21,6.57
Rumngeur ,0,0,0,0,0,0,0,0,0,0,-
Awear ,0,0,0,0,0,0,0,0,0,0,-
Sofyanin ,0,0,0,0,0,0,0,0,0,0,-
Walerang ,0,0,0,0,0,0,0,0,0,0,-
Adodo Fordata ,0,0,0,0,0,0,0,0,0,0,-
,,,,,,,,,,,
