"Tabel 5.2.1 Luas Panen, Produksi, dan Produktivitas Tanaman Sayuran Menurut Jenis di Kecamatan Yaru, 2012",,,,,,,,
,,,,,,,,
Jenis Tanaman ,Luas Panen (ha),Produksi (ton) ,Produktivitas (kuintal/ha),,,,,
Bawang Merah ,2,9.8,0.5,,,,,
Cabai ,0.75,26,3.46,,,,,
Kentang ,- ,- ,-,,,,,
Kubis ,1,7.7,0,,,,,
Wortel ,- ,- ,-,,,,,
Petsai ,1.75,23.3,0,,,,,
Kacang Panjang ,0.75,3.9,0,,,,,
Buncis ,0.3,6.1,0,,,,,
