"Tabel 5.5.2 Produksi dan Nilai Perikanan Tangkap Menurut Desa di Kecamatan Yaru, 2011 -2012",,,,
,,,,
Desa,Produksi (ton) 2011,Produksi (ton) 2012,Nilai (ribu rupiah) 2011,Nilai (ribu rupiah) 2012
Romean ,139.24,140.68,1748226,1751406
Rumngeur ,51.06,51.58,641016.2,642182.2
Awear ,55.7,56.27,699290.4,700562.4
Sofyanin ,64.98,65.65,815838.8,817322.8
Walerang ,78.9,79.72,990661.4,992463.4
Adodo Fordata ,74.26,75.03,932387.2,934387.2
