"Tabel 5.3.1 Luas tanam dan produksi Tanaman Perkebunan Menurut Kecamatan dan Jenis Tanaman di Kecamatan Yaru, 2012",,,,,,,,
,,,,,,,,
Jenis Tanaman,Luas (ha) ,Produksi (ton),,,,,,
Kelapa ,2412.4,4536.7,,,,,,
Coklat ,3.0,0.3,,,,,,
Jambu Mete ,113.0,54.3,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
