Tabel 1.1.2. Letak Geografis Desa di Kecamatan Yaru,,,,,
,,,,,
Desa ,Letak,,,,
Romean ,Pesisir Pantai,,,,
Rumngeur ,Pesisir Pantai,,,,
Awear ,Pesisir Pantai,,,,
Sofyanin ,Pesisir Pantai,,,,
Walerang ,Pesisir Pantai,,,,
Adodo Fordata ,Pesisir Pantai,,,,
