"Tabel 3.3 Banyaknya Penduduk Menurut Desa dan Jenis Kelamin di Kecamatan Yaru, 2012",,,,
,,,,
Desa ,Penduduk (orang)  Laki - laki ,Penduduk (orang)  Perempuan ,Penduduk (orang)  Jumlah,Rasio Jenis Kelamin
Romean ,860,883,1743,97
Rumngeur ,146,171,317,85
Awear ,145,148,293,98
Sofyanin ,477,478,955,100
Walerang ,399,393,777,101
Adodo Fordata ,476,462,938,103
