"Tabel 2.2 Banyaknya Desa Menurut Klasifikasi Desa di Kecamatan Yaru, 2009 ­2012",,,,,
,,,,,
Klasifikasi ,2009,2010,2011,2012,
Swadaya ,2,0,0,0,
Swakarya ,2,6,5,5,
Swasembada ,2,0,1,1,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
