"Tabel 5.5.1 Jumlah Rumah Tangga Perikanan dan Nelayan Menurut Desa di Kecamatan Yaru, 2012",,
,,
Desa ,Rumah Tangga Perikanan,Rumah Tangga Nelayan
Romean ,90,448
Rumngeur ,24,72
Awear ,26,84
Sofyanin ,84,265
Walerang ,29,94
