"Tabel 2.7 Banyaknya Akta Kelahiran yang Dikeluarkan Menurut Desa di Kecamatan Yaru, 2009 ­ 20112",,,,,
,,,,,
Desa ,2009,2010,2011,2012,
Romean ,91,9,129,11,
Rumngeur ,0,1,14,0,
Awear ,0,0,4,0,
Sofyanin ,0,2,23,0,
Walerang ,0,0,46,0,
Adodo Fordata ,0,0,26,0,
