"Tabel 5.4.1 Populasi Ternak di Kecamatan Yaru (ekor), 2010 - 2012",,,,,,,,
,,,,,,,,
Tahun ,Sapi Potong,Kerbau ,Kambing ,Domba ,Babi,,,
2010,- ,- ,132,- ,680,,,
2011,- ,- ,19,- ,680,,,
2012,- ,- ,27,- ,1372,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
